HEADER INFORMATION (all units in Statoil default) 
----------------------------------------------------------------
COMPANY: Statoil Norway
FIELD: SLEIPNER
WELL NAME: F-10
WELLBORE NAME: NO 15/9-F-10
Drilled From: Well Ref. Point
Kick Off Depth: 1381.60m
Survey Name: F10 Rev 5.1 280409
Survey Date: 01.01.1990
Extraction Date: 11.04.2018
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: Rotary Table(54.90m)
----------------------------------------------------------------
Surface EW: 435052.248m
Surface NS: 6478559.613m
Surface Latitude: 58° 26' 29.6816 N
Surface Longitude: 1° 53' 15.0698 E
Bottom Hole MD: 5413.67m
Bottom Hole TVD: 3065.94m
Bottom Hole EW: 438039.045m
Bottom Hole NS: 6476491.728m
----------------------------------------------------------------
Survey Program:  
H  150 - 260 26" CONTINUOUS WIRELINE GYRO TO SB : KEEPER, CONT
H  267 - 683 26" GYROMWD SURVEY : KEEPER, STAT
H  709 - 1382 26"MWD SURVEY : MAGNETIC, STD, NON-MAG
H  1382 - 5414 F10 REV 5.1 280409 : MAGNETIC, STD, NON-MAG
----------------------------------------------------------------
Water Depth: 91.00m
KB-WH: 145.90m
KB-MSL: 54.90m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 124.70deg
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
3990.00   86.05     122.50    2692.43   1948.546        -1245.860       436997.888      6477318.097     0.00      
4020.00   86.05     122.50    2694.49   1973.787        -1261.941       437023.120      6477302.021     0.00      
4050.00   86.05     122.50    2696.56   1999.028        -1278.022       437048.352      6477285.946     0.00      
4080.00   86.05     122.50    2698.63   2024.269        -1294.104       437073.585      6477269.870     0.00      
4110.00   86.05     122.50    2700.70   2049.510        -1310.185       437098.817      6477253.794     0.00      
4140.00   86.05     122.50    2702.76   2074.751        -1326.267       437124.049      6477237.718     0.00      
4170.00   86.05     122.50    2704.83   2099.992        -1342.348       437149.282      6477221.642     0.00      
4178.33   86.05     122.50    2705.41   2106.999        -1346.813       437156.287      6477217.180     0.00      
4200.00   85.98     123.95    2706.91   2125.084        -1358.658       437174.365      6477205.338     2.00      
4230.00   85.88     125.95    2709.04   2149.610        -1375.799       437198.883      6477188.203     2.00      
4260.00   85.79     127.95    2711.22   2173.520        -1393.785       437222.784      6477170.223     2.00      
4290.00   85.71     129.96    2713.44   2196.783        -1412.594       437246.039      6477151.421     2.00      
4320.41   85.63     131.99    2715.74   2219.680        -1432.480       437268.928      6477131.542     2.00      
4350.00   85.63     131.99    2717.99   2241.606        -1452.215       437290.846      6477111.814     0.00      
4380.00   85.63     131.99    2720.28   2263.839        -1472.227       437313.071      6477091.809     0.00      
4410.00   85.63     131.99    2722.57   2286.072        -1492.238       437335.296      6477071.804     0.00      
4440.00   85.63     131.99    2724.85   2308.305        -1512.250       437357.522      6477051.800     0.00      
4470.00   85.63     131.99    2727.14   2330.538        -1532.262       437379.747      6477031.795     0.00      
4500.00   85.63     131.99    2729.42   2352.771        -1552.273       437401.972      6477011.790     0.00      
4530.00   85.63     131.99    2731.71   2375.004        -1572.285       437424.197      6476991.786     0.00      
4560.00   85.63     131.99    2734.00   2397.237        -1592.297       437446.423      6476971.781     0.00      
4590.00   85.63     131.99    2736.28   2419.470        -1612.308       437468.648      6476951.776     0.00      
4620.00   85.63     131.99    2738.57   2441.703        -1632.320       437490.873      6476931.771     0.00      
